,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
278,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 6, 2022",ODI # 4352
279,India,West Indies,India,6 wickets,Ahmedabad,"Feb 6, 2022",ODI # 4353
280,Oman,U.A.E.,tied,,Al Amerat,"Feb 8, 2022",ODI # 4354
281,India,West Indies,India,44 runs,Ahmedabad,"Feb 9, 2022",ODI # 4355
282,India,West Indies,India,96 runs,Ahmedabad,"Feb 11, 2022",ODI # 4356
283,Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,"Feb 23, 2022",ODI # 4357
284,Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram,"Feb 25, 2022",ODI # 4358
285,Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram,"Feb 28, 2022",ODI # 4359
286,U.A.E.,Oman,Oman,12 runs,ICCA Dubai,"Mar 5, 2022",ODI # 4360
287,Namibia,Oman,Namibia,110 runs,ICCA Dubai,"Mar 6, 2022",ODI # 4361
288,U.A.E.,Namibia,U.A.E.,3 wickets,ICCA Dubai,"Mar 8, 2022",ODI # 4362
289,U.A.E.,Oman,Oman,8 runs,ICCA Dubai,"Mar 9, 2022",ODI # 4363
290,Namibia,Oman,Oman,7 wickets,Sharjah,"Mar 11, 2022",ODI # 4364
291,U.A.E.,Namibia,U.A.E.,43 runs,Sharjah,"Mar 12, 2022",ODI # 4365
292,Namibia,Oman,Namibia,5 wickets,Dubai (DSC),"Mar 14, 2022",ODI # 4366
293,U.A.E.,P.N.G.,U.A.E.,7 wickets,Sharjah,"Mar 15, 2022",ODI # 4367
294,Nepal,P.N.G.,Nepal,2 wickets,Sharjah,"Mar 16, 2022",ODI # 4368
295,U.A.E.,Nepal,U.A.E.,48 runs,Dubai (DSC),"Mar 18, 2022",ODI # 4369
296,South Africa,Bangladesh,Bangladesh,38 runs,Centurion,"Mar 18, 2022",ODI # 4370
297,U.A.E.,P.N.G.,P.N.G.,6 wickets,Dubai (DSC),"Mar 19, 2022",ODI # 4371
298,South Africa,Bangladesh,South Africa,7 wickets,Johannesburg,"Mar 20, 2022",ODI # 4372
299,U.A.E.,Nepal,U.A.E.,99 runs,Dubai (DSC),"Mar 21, 2022",ODI # 4373
300,Nepal,P.N.G.,Nepal,7 wickets,Dubai (DSC),"Mar 22, 2022",ODI # 4374
301,South Africa,Bangladesh,Bangladesh,9 wickets,Centurion,"Mar 23, 2022",ODI # 4375
302,Nepal,P.N.G.,P.N.G.,6 runs,Kirtipur,"Mar 25, 2022",ODI # 4376
303,Nepal,P.N.G.,P.N.G.,3 wickets,Kirtipur,"Mar 26, 2022",ODI # 4377
304,New Zealand,Netherlands,New Zealand,7 wickets,Mount Maunganui,"Mar 29, 2022",ODI # 4378
305,Pakistan,Australia,Australia,88 runs,Lahore,"Mar 29, 2022",ODI # 4379
306,Pakistan,Australia,Pakistan,6 wickets,Lahore,"Mar 31, 2022",ODI # 4380
307,New Zealand,Netherlands,New Zealand,118 runs,Hamilton,"Apr 2, 2022",ODI # 4381
308,Pakistan,Australia,Pakistan,9 wickets,Lahore,"Apr 2, 2022",ODI # 4382
309,New Zealand,Netherlands,New Zealand,115 runs,Hamilton,"Apr 4, 2022",ODI # 4383
310,P.N.G.,Scotland,Scotland,162 runs,Dubai (DSC),"Apr 9, 2022",ODI # 4384
311,Oman,Scotland,Scotland,4 runs,Dubai (DSC),"Apr 10, 2022",ODI # 4385
312,Oman,P.N.G.,Oman,7 wickets,Dubai (DSC),"Apr 12, 2022",ODI # 4386
313,P.N.G.,Scotland,Scotland,123 runs,Dubai (DSC),"Apr 13, 2022",ODI # 4387
314,Oman,Scotland,Scotland,2 wickets,Dubai (DSC),"Apr 15, 2022",ODI # 4388
315,Oman,P.N.G.,Oman,85 runs,Dubai (DSC),"Apr 16, 2022",ODI # 4389
316,U.S.A.,Scotland,U.S.A.,104 runs,Pearland,"May 28, 2022",ODI # 4390
317,U.S.A.,Scotland,Scotland,111 runs,Pearland,"May 29, 2022",ODI # 4391
318,Netherlands,West Indies,West Indies,7 wickets,Amstelveen,"May 31, 2022",ODI # 4392
319,Scotland,U.A.E.,Scotland,4 wickets,Pearland,"May 31, 2022",ODI # 4393
320,U.S.A.,U.A.E.,U.S.A.,4 wickets,Pearland,"Jun 1, 2022",ODI # 4394
321,Netherlands,West Indies,West Indies,5 wickets,Amstelveen,"Jun 2, 2022",ODI # 4395
322,Scotland,U.A.E.,U.A.E.,5 wickets,Pearland,"Jun 3, 2022",ODI # 4396
323,Zimbabwe,Afghanistan,Afghanistan,60 runs,Harare,"Jun 4, 2022",ODI # 4397
324,Netherlands,West Indies,West Indies,20 runs,Amstelveen,"Jun 4, 2022",ODI # 4398
325,U.S.A.,U.A.E.,U.A.E.,8 wickets,Pearland,"Jun 4, 2022",ODI # 4399
326,Zimbabwe,Afghanistan,Afghanistan,8 wickets,Harare,"Jun 6, 2022",ODI # 4400
327,Pakistan,West Indies,Pakistan,5 wickets,Multan,"Jun 8, 2022",ODI # 4401
328,U.S.A.,Oman,U.S.A.,114 runs,Pearland,"Jun 8, 2022",ODI # 4402
329,Zimbabwe,Afghanistan,Afghanistan,4 wickets,Harare,"Jun 9, 2022",ODI # 4403
330,Nepal,Oman,Oman,13 runs,Pearland,"Jun 9, 2022",ODI # 4404
331,Pakistan,West Indies,Pakistan,120 runs,Multan,"Jun 10, 2022",ODI # 4405
332,U.S.A.,Nepal,tied,,Pearland,"Jun 11, 2022",ODI # 4406
333,Pakistan,West Indies,Pakistan,53 runs,Multan,"Jun 12, 2022",ODI # 4407
334,U.S.A.,Oman,Oman,13 runs,Pearland,"Jun 12, 2022",ODI # 4408
335,Sri Lanka,Australia,Australia,2 wickets,Pallekele,"Jun 14, 2022",ODI # 4409
336,Nepal,Oman,Nepal,7 wickets,Pearland,"Jun 14, 2022",ODI # 4410
337,U.S.A.,Nepal,U.S.A.,39 runs,Pearland,"Jun 15, 2022",ODI # 4411
338,Sri Lanka,Australia,Sri Lanka,26 runs,Pallekele,"Jun 16, 2022",ODI # 4412
339,Netherlands,England,England,232 runs,Amstelveen,"Jun 17, 2022",ODI # 4413
340,Netherlands,England,England,6 wickets,Amstelveen,"Jun 19, 2022",ODI # 4414
341,Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (RPS),"Jun 19, 2022",ODI # 4415
342,Sri Lanka,Australia,Sri Lanka,4 runs,Colombo (RPS),"Jun 21, 2022",ODI # 4416
343,Netherlands,England,England,8 wickets,Amstelveen,"Jun 22, 2022",ODI # 4417
344,Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS),"Jun 24, 2022",ODI # 4418
345,Ireland,New Zealand,New Zealand,1 wicket,Dublin (Malahide),"Jul 10, 2022",ODI # 4419
346,Scotland,Namibia,Scotland,77 runs,Glasgow,"Jul 10, 2022",ODI # 4420
347,West Indies,Bangladesh,Bangladesh,6 wickets,Providence,"Jul 10, 2022",ODI # 4421
348,Namibia,Nepal,Namibia,40 runs,Ayr,"Jul 11, 2022",ODI # 4422
349,Ireland,New Zealand,New Zealand,3 wickets,Dublin (Malahide),"Jul 12, 2022",ODI # 4423
350,England,India,India,10 wickets,The Oval,"Jul 12, 2022",ODI # 4424
351,Scotland,Nepal,Nepal,5 wickets,Glasgow,"Jul 13, 2022",ODI # 4425
352,West Indies,Bangladesh,Bangladesh,9 wickets,Providence,"Jul 13, 2022",ODI # 4426
353,Scotland,Namibia,Scotland,3 wickets,Glasgow,"Jul 14, 2022",ODI # 4427
354,England,India,England,100 runs,Lord's,"Jul 14, 2022",ODI # 4428
355,Ireland,New Zealand,New Zealand,1 run,Dublin (Malahide),"Jul 15, 2022",ODI # 4429
356,Namibia,Nepal,Namibia,63 runs,Ayr,"Jul 16, 2022",ODI # 4430
357,West Indies,Bangladesh,Bangladesh,4 wickets,Providence,"Jul 16, 2022",ODI # 4431
358,Scotland,Nepal,Scotland,8 wickets,Glasgow,"Jul 17, 2022",ODI # 4432
359,England,India,India,5 wickets,Manchester,"Jul 17, 2022",ODI # 4433
360,England,South Africa,South Africa,62 runs,Chester-le-Street,"Jul 19, 2022",ODI # 4434
361,England,South Africa,England,118 runs,Manchester,"Jul 22, 2022",ODI # 4435
362,West Indies,India,India,3 runs,Port of Spain,"Jul 22, 2022",ODI # 4436
363,England,South Africa,no result,,Leeds,"Jul 24, 2022",ODI # 4437
364,West Indies,India,India,2 wickets,Port of Spain,"Jul 24, 2022",ODI # 4438
365,West Indies,India,India,119 runs,Port of Spain,"Jul 27, 2022",ODI # 4439
366,Scotland,New Zealand,New Zealand,7 wickets,Edinburgh,"Jul 31, 2022",ODI # 4440
367,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,"Aug 5, 2022",ODI # 4441
368,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,"Aug 7, 2022",ODI # 4442
369,Zimbabwe,Bangladesh,Bangladesh,105 runs,Harare,"Aug 10, 2022",ODI # 4443
370,Scotland,U.A.E.,Scotland,64 runs,Aberdeen,"Aug 10, 2022",ODI # 4444
371,U.A.E.,U.S.A.,U.S.A.,1 wicket,Aberdeen,"Aug 11, 2022",ODI # 4445
372,Scotland,U.S.A.,Scotland,5 wickets,Aberdeen,"Aug 13, 2022",ODI # 4446
373,Scotland,U.A.E.,Scotland,86 runs,Aberdeen,"Aug 14, 2022",ODI # 4447
374,Netherlands,Pakistan,Pakistan,16 runs,Rotterdam,"Aug 16, 2022",ODI # 4448
375,Scotland,U.S.A.,U.S.A.,2 wickets,Aberdeen,"Aug 17, 2022",ODI # 4449
376,West Indies,New Zealand,West Indies,5 wickets,Bridgetown,"Aug 17, 2022",ODI # 4450
377,Zimbabwe,India,India,10 wickets,Harare,"Aug 18, 2022",ODI # 4451
378,Netherlands,Pakistan,Pakistan,7 wickets,Rotterdam,"Aug 18, 2022",ODI # 4452
379,West Indies,New Zealand,New Zealand,50 runs,Bridgetown,"Aug 19, 2022",ODI # 4453
380,Zimbabwe,India,India,5 wickets,Harare,"Aug 20, 2022",ODI # 4454
381,Netherlands,Pakistan,Pakistan,9 runs,Rotterdam,"Aug 21, 2022",ODI # 4455
382,West Indies,New Zealand,New Zealand,5 wickets,Bridgetown,"Aug 21, 2022",ODI # 4456
383,Zimbabwe,India,India,13 runs,Harare,"Aug 22, 2022",ODI # 4457
384,Australia,Zimbabwe,Australia,5 wickets,Townsville,"Aug 28, 2022",ODI # 4458
385,Australia,Zimbabwe,Australia,8 wickets,Townsville,"Aug 31, 2022",ODI # 4459
386,Australia,Zimbabwe,Zimbabwe,3 wickets,Townsville,"Sep 3, 2022",ODI # 4460
387,Australia,New Zealand,Australia,2 wickets,Cairns,"Sep 6, 2022",ODI # 4461
388,Australia,New Zealand,Australia,113 runs,Cairns,"Sep 8, 2022",ODI # 4462
389,P.N.G.,U.S.A.,tied,,Port Moresby,"Sep 11, 2022",ODI # 4463
390,Australia,New Zealand,Australia,25 runs,Cairns,"Sep 11, 2022",ODI # 4464
391,P.N.G.,U.S.A.,P.N.G.,26 runs,Port Moresby,"Sep 13, 2022",ODI # 4465
392,Namibia,U.S.A.,Namibia,79 runs,Port Moresby,"Sep 15, 2022",ODI # 4466
393,Namibia,U.S.A.,Namibia,68 runs,Port Moresby,"Sep 17, 2022",ODI # 4467
394,P.N.G.,Namibia,Namibia,167 runs,Port Moresby,"Sep 20, 2022",ODI # 4468
395,P.N.G.,Namibia,Namibia,61 runs,Port Moresby,"Sep 21, 2022",ODI # 4469
396,India,South Africa,South Africa,9 runs,Lucknow,"Oct 6, 2022",ODI # 4470
397,India,South Africa,India,7 wickets,Ranchi,"Oct 9, 2022",ODI # 4471
398,India,South Africa,India,7 wickets,Delhi,"Oct 11, 2022",ODI # 4472
399,Nepal,U.A.E.,U.A.E.,84 runs,Kirtipur,"Nov 14, 2022",ODI # 4473
400,Nepal,U.A.E.,Nepal,3 wickets,Kirtipur,"Nov 16, 2022",ODI # 4474
401,Australia,England,Australia,6 wickets,Adelaide,"Nov 17, 2022",ODI # 4475
402,Nepal,U.A.E.,Nepal,6 wickets,Kirtipur,"Nov 18, 2022",ODI # 4476
403,Australia,England,Australia,72 runs,Sydney,"Nov 19, 2022",ODI # 4477
404,Namibia,P.N.G.,Namibia,8 wickets,Windhoek,"Nov 19, 2022",ODI # 4478
405,Namibia,U.S.A.,U.S.A.,71 runs,Windhoek,"Nov 20, 2022",ODI # 4479
406,Australia,England,Australia,221 runs,Melbourne,"Nov 22, 2022",ODI # 4480
407,P.N.G.,U.S.A.,U.S.A.,6 wickets,Windhoek,"Nov 22, 2022",ODI # 4481
408,Namibia,P.N.G.,Namibia,3 wickets,Windhoek,"Nov 23, 2022",ODI # 4482
409,New Zealand,India,New Zealand,7 wickets,Auckland,"Nov 25, 2022",ODI # 4483
410,P.N.G.,U.S.A.,U.S.A.,35 runs,Windhoek,"Nov 25, 2022",ODI # 4484
411,Sri Lanka,Afghanistan,Afghanistan,60 runs,Pallekele,"Nov 25, 2022",ODI # 4485
412,Namibia,U.S.A.,Namibia,6 wickets,Windhoek,"Nov 26, 2022",ODI # 4486
413,New Zealand,India,no result,,Hamilton,"Nov 27, 2022",ODI # 4487
414,Sri Lanka,Afghanistan,no result,,Pallekele,"Nov 27, 2022",ODI # 4488
415,New Zealand,India,no result,,Christchurch,"Nov 30, 2022",ODI # 4489
416,Sri Lanka,Afghanistan,Sri Lanka,4 wickets,Pallekele,"Nov 30, 2022",ODI # 4490
417,Namibia,Scotland,Scotland,4 wickets,Windhoek,"Dec 1, 2022",ODI # 4491
418,Namibia,Nepal,no result,,Windhoek,"Dec 2, 2022",ODI # 4492
419,Bangladesh,India,Bangladesh,1 wicket,Mirpur,"Dec 4, 2022",ODI # 4493
420,Nepal,Scotland,Scotland,3 wickets,Windhoek,"Dec 4, 2022",ODI # 4494
421,Namibia,Scotland,Namibia,3 wickets,Windhoek,"Dec 5, 2022",ODI # 4495
422,Bangladesh,India,Bangladesh,5 runs,Mirpur,"Dec 7, 2022",ODI # 4496
423,Namibia,Nepal,Namibia,86 runs,Windhoek,"Dec 7, 2022",ODI # 4497
424,Nepal,Scotland,Scotland,8 wickets,Windhoek,"Dec 8, 2022",ODI # 4498
425,Bangladesh,India,India,227 runs,Chattogram,"Dec 10, 2022",ODI # 4499
426,Pakistan,New Zealand,Pakistan,6 wickets,Karachi,"Jan 9, 2023",ODI # 4500
427,India,Sri Lanka,India,67 runs,Guwahati,"Jan 10, 2023",ODI # 4501
428,Pakistan,New Zealand,New Zealand,79 runs,Karachi,"Jan 11, 2023",ODI # 4502
429,India,Sri Lanka,India,4 wickets,Eden Gardens,"Jan 12, 2023",ODI # 4503
430,Pakistan,New Zealand,New Zealand,2 wickets,Karachi,"Jan 13, 2023",ODI # 4504
431,India,Sri Lanka,India,317 runs,Thiruvananthapuram,"Jan 15, 2023",ODI # 4505
432,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,"Jan 18, 2023",ODI # 4506
433,India,New Zealand,India,12 runs,Hyderabad,"Jan 18, 2023",ODI # 4507
434,Zimbabwe,Ireland,Ireland,46 runs,Harare,"Jan 21, 2023",ODI # 4508
435,India,New Zealand,India,8 wickets,Raipur,"Jan 21, 2023",ODI # 4509
436,Zimbabwe,Ireland,no result,,Harare,"Jan 23, 2023",ODI # 4510
437,India,New Zealand,India,90 runs,Indore,"Jan 24, 2023",ODI # 4511
438,South Africa,England,South Africa,27 runs,Bloemfontein,"Jan 27, 2023",ODI # 4512
439,South Africa,England,South Africa,5 wickets,Bloemfontein,"Jan 29, 2023",ODI # 4513
440,South Africa,England,England,59 runs,Kimberley,"Feb 1, 2023",ODI # 4514
441,Nepal,Namibia,Nepal,2 wickets,Kirtipur,"Feb 14, 2023",ODI # 4515
442,Namibia,Scotland,Scotland,10 wickets,Kirtipur,"Feb 15, 2023",ODI # 4516
443,Nepal,Scotland,Nepal,3 wickets,Kirtipur,"Feb 17, 2023",ODI # 4517
444,Nepal,Namibia,Nepal,3 wickets,Kirtipur,"Feb 18, 2023",ODI # 4518
445,Namibia,Scotland,Scotland,43 runs,Kirtipur,"Feb 20, 2023",ODI # 4519
446,Nepal,Scotland,Nepal,2 wickets,Kirtipur,"Feb 21, 2023",ODI # 4520
447,U.A.E.,Namibia,U.A.E.,1 wicket,Dubai (DSC),"Feb 23, 2023",ODI # 4521
448,U.A.E.,Namibia,Namibia,7 wickets,Dubai (DSC),"Feb 25, 2023",ODI # 4522
449,Nepal,P.N.G.,Nepal,4 wickets,Dubai (DSC),"Feb 27, 2023",ODI # 4523
450,U.A.E.,P.N.G.,P.N.G.,131 runs,Dubai (DSC),"Feb 28, 2023",ODI # 4524
451,Bangladesh,England,England,3 wickets,Mirpur,"Mar 1, 2023",ODI # 4525
452,U.A.E.,Nepal,U.A.E.,68 runs,Dubai (DSC),"Mar 2, 2023",ODI # 4526
453,Nepal,P.N.G.,Nepal,3 wickets,Dubai (DSC),"Mar 3, 2023",ODI # 4527
454,Bangladesh,England,England,132 runs,Mirpur,"Mar 3, 2023",ODI # 4528
455,U.A.E.,P.N.G.,P.N.G.,5 wickets,Dubai (DSC),"Mar 5, 2023",ODI # 4529
456,U.A.E.,Nepal,Nepal,42 runs,Dubai (DSC),"Mar 6, 2023",ODI # 4530
457,Bangladesh,England,Bangladesh,50 runs,Chattogram,"Mar 6, 2023",ODI # 4531
458,Nepal,P.N.G.,Nepal,52 runs,Kirtipur,"Mar 9, 2023",ODI # 4532
459,P.N.G.,U.A.E.,P.N.G.,56 runs,Kirtipur,"Mar 10, 2023",ODI # 4533
460,Nepal,U.A.E.,Nepal,177 runs,Kirtipur,"Mar 12, 2023",ODI # 4534
461,Nepal,P.N.G.,Nepal,9 wickets,Kirtipur,"Mar 13, 2023",ODI # 4535
462,P.N.G.,U.A.E.,U.A.E.,6 wickets,Kirtipur,"Mar 15, 2023",ODI # 4536
463,Nepal,U.A.E.,Nepal,9 runs,Kirtipur,"Mar 16, 2023",ODI # 4537
464,India,Australia,India,5 wickets,Wankhede,"Mar 17, 2023",ODI # 4538
465,Bangladesh,Ireland,Bangladesh,183 runs,Sylhet,"Mar 18, 2023",ODI # 4539
466,South Africa,West Indies,West Indies,48 runs,East London,"Mar 18, 2023",ODI # 4540
467,India,Australia,Australia,10 wickets,Visakhapatnam,"Mar 19, 2023",ODI # 4541
468,Bangladesh,Ireland,no result,,Sylhet,"Mar 20, 2023",ODI # 4542
469,Zimbabwe,Netherlands,Netherlands,3 wickets,Harare,"Mar 21, 2023",ODI # 4543
470,South Africa,West Indies,South Africa,4 wickets,Potchefstroom,"Mar 21, 2023",ODI # 4544
471,India,Australia,Australia,21 runs,Chennai,"Mar 22, 2023",ODI # 4545
472,Zimbabwe,Netherlands,-,,Harare,"Mar 23, 2023",ODI # 4546
473,Bangladesh,Ireland,-,,Sylhet,"Mar 23, 2023",ODI # 4547
